,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
56,2,Africa,2024,Population aged 60+ years old (percentage),5.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
57,2,Africa,2024,Population density,51.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
58,15,Northern Africa,2010,Population mid-year estimates (millions),210.94,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
59,15,Northern Africa,2010,Population mid-year estimates for males (millions),106.55,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
60,15,Northern Africa,2010,Population mid-year estimates for females (millions),104.39,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
61,15,Northern Africa,2010,Sex ratio (males per 100 females),102.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
62,15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),33.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
63,15,Northern Africa,2010,Population aged 60+ years old (percentage),6.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
64,15,Northern Africa,2010,Population density,27.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
65,15,Northern Africa,2015,Population mid-year estimates (millions),232.67,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
66,15,Northern Africa,2015,Population mid-year estimates for males (millions),117.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
67,15,Northern Africa,2015,Population mid-year estimates for females (millions),115.26,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
68,15,Northern Africa,2015,Sex ratio (males per 100 females),101.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
69,15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),33.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
70,15,Northern Africa,2015,Population aged 60+ years old (percentage),7.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
71,15,Northern Africa,2015,Population density,30.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
72,15,Northern Africa,2022,Population mid-year estimates (millions),264.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
73,15,Northern Africa,2022,Population mid-year estimates for males (millions),133.40,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
74,15,Northern Africa,2022,Population mid-year estimates for females (millions),131.32,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
75,15,Northern Africa,2022,Sex ratio (males per 100 females),101.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
76,15,Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
77,15,Northern Africa,2022,Population aged 60+ years old (percentage),8.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
78,15,Northern Africa,2022,Population density,34.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
79,15,Northern Africa,2022,Surface area (thousand km2),"7,769",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
80,15,Northern Africa,2024,Population mid-year estimates (millions),272.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
81,15,Northern Africa,2024,Population mid-year estimates for males (millions),137.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
82,15,Northern Africa,2024,Population mid-year estimates for females (millions),135.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
83,15,Northern Africa,2024,Sex ratio (males per 100 females),101.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
84,15,Northern Africa,2024,Population aged 0 to 14 years old (percentage),31.9,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
85,15,Northern Africa,2024,Population aged 60+ years old (percentage),8.8,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
86,15,Northern Africa,2024,Population density,35.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
87,202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),861.28,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
88,202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),427.75,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
89,202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),433.52,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
90,202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
91,202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
92,202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
93,202,Sub-Saharan Africa,2010,Population density,39.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
94,202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),987.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
95,202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),491.50,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
96,202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),495.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
97,202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
98,202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
99,202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
100,202,Sub-Saharan Africa,2015,Population density,45.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
101,202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,182.16",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
102,202,Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),589.24,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
103,202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),592.92,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
104,202,Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
105,202,Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
106,202,Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
107,202,Sub-Saharan Africa,2022,Population density,54.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
108,202,Sub-Saharan Africa,2022,Surface area (thousand km2),"21,879",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
109,202,Sub-Saharan Africa,2024,Population mid-year estimates (millions),"1,243.01",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
110,202,Sub-Saharan Africa,2024,Population mid-year estimates for males (millions),619.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
111,202,Sub-Saharan Africa,2024,Population mid-year estimates for females (millions),623.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
112,202,Sub-Saharan Africa,2024,Sex ratio (males per 100 females),99.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
113,202,Sub-Saharan Africa,2024,Population aged 0 to 14 years old (percentage),40.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
114,202,Sub-Saharan Africa,2024,Population aged 60+ years old (percentage),5.0,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
115,202,Sub-Saharan Africa,2024,Population density,56.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
116,14,Eastern Africa,2010,Population mid-year estimates (millions),345.28,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
117,14,Eastern Africa,2010,Population mid-year estimates for males (millions),170.79,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
118,14,Eastern Africa,2010,Population mid-year estimates for females (millions),174.49,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
119,14,Eastern Africa,2010,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
120,14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
121,14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
122,14,Eastern Africa,2010,Population density,51.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
123,14,Eastern Africa,2015,Population mid-year estimates (millions),395.33,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
124,14,Eastern Africa,2015,Population mid-year estimates for males (millions),195.77,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
125,14,Eastern Africa,2015,Population mid-year estimates for females (millions),199.57,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
126,14,Eastern Africa,2015,Sex ratio (males per 100 females),98.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
127,14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
